t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
0.0,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.05,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.1,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.15000000000000002,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.2,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.25,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.30000000000000004,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.35000000000000003,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.4,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.45,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.5,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.55,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.6000000000000001,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.65,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.7000000000000001,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.75,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.8,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.8500000000000001,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.9,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
0.9500000000000001,-10.169158117950104,-2.994352770658722,-8.0,0,0,0,0,0,0,0,20
1.0,-10.169158117950104,-2.994352770658722,-8.0,1.5626089743099247,-1.248300121527706,0.0,0,0,0,0,30
1.05,-10.090960410117631,-3.0568215071086526,-8.0,1.5626089743099247,-1.248300121527706,0.0,0,0,0,0,30
1.1,-10.012762702285158,-3.119290243558584,-8.0,1.5626089743099247,-1.248300121527706,0.0,0,0,0,0,30
1.15,-9.934564994452687,-3.1817589800085146,-8.0,1.5626089743099247,-1.248300121527706,0.0,0,0,0,0,30
1.2,-9.856367286620214,-3.2442277164584454,-8.0,1.5626089743099247,-1.248300121527706,0.0,0,0,0,0,30
1.25,-9.778169578787741,-3.3066964529083767,-8.0,1.5626089743099247,-1.248300121527706,0.0,0,0,0,0,30
1.3,-9.699971870955268,-3.3691651893583074,-8.0,1.5626089743099247,-1.248300121527706,0.0,0,0,0,0,30
1.35,-9.621774163122796,-3.4316339258082387,-8.0,1.5626089743099247,-1.248300121527706,0.0,0,0,0,0,30
1.4,-9.543576455290323,-3.4941026622581695,-8.0,1.5626089743099247,-1.248300121527706,0.0,0,0,0,0,30
