t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
34.55,-31.61603821103361,9.868557164068072,-10,-1.0334328896055724,-0.16923112572345292,0,0.017721842044384345,-0.10822083913209796,0,0,70
34.6,-31.667687467161024,9.85996037070505,-10,-1.0325326355097826,-0.17463982317722787,0,0.018288239517259986,-0.10812656474364135,0,0,70
34.650000000000006,-31.719291002794098,9.851093261547739,-10,-1.0316040740102097,-0.18004373279203204,0,0.01885413560881105,-0.10802932601079253,0,0,70
34.7,-31.770847403195834,9.84195607969242,-10,-1.0306472305638368,-0.185442706416953,0,0.019419514804710276,-0.10792912559940053,0,0,70
34.75,-31.822355254921472,9.832549075639546,-10,-1.0296621314030103,-0.19083659603640182,0,0.019984361604801434,-0.10782596625651018,0,0,70
34.8,-31.873813145857245,9.822872507286887,-10,-1.0286488035347212,-0.19622525377417013,0,0.02054866052352419,-0.10771985081028701,0,0,70
34.85,-31.925219665259075,9.812926639922452,-10,-1.027607274739865,-0.2016085318974837,0,0.02111239609033861,-0.10761078216993959,0,0,70
34.900000000000006,-31.976573403791264,9.802711746217218,-10,-1.0265375735724795,-0.20698628282105352,0,0.021675552850149365,-0.10749876332563978,0,0,70
34.95,-32.02787295356512,9.792228106217657,-10,-1.0254397293589628,-0.21235835911112094,0,0.022238115363729355,-0.10738379734844077,0,0,70
35.0,-32.079116908177596,9.781476007338057,-10,-1.0243137721972686,-0.21772461348950176,0,0.022800068208143197,-0.10726588739019295,0,0,70
35.05,-32.13030386274977,9.770455744352637,-10,-1.023159732956081,-0.22308489883762087,0,0.023361395977169734,-0.1071450366834573,0,0,70
35.1,-32.181432413965425,9.759167619387474,-10,-1.0219776432739693,-0.22843906820054766,0,0.023922083281724606,-0.10702124854141708,0,0,70
35.150000000000006,-32.232501160109514,9.747611941912218,-10,-1.0207675355585188,-0.23378697479102475,0,0.024482114750282183,-0.10689452635778668,0,0,70
35.2,-32.283508701106555,9.735789028731602,-10,-1.0195294429854436,-0.23912847199349105,0,0.025041475029296805,-0.10676487360671878,0,0,70
35.25,-32.334453638559054,9.723699203976766,-10,-1.0182633994976775,-0.24446341336810284,0,0.025600148783623888,-0.10663229384270909,0,0,70
35.3,-32.385334575785805,9.71134279909636,-10,-1.0169694398044422,-0.2497916526547475,0,0.02615812069694027,-0.10649679070049876,0,0,70
