t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
4.8,0,0,-10,0,0,0,0,0,0,0,40
4.85,0,0,-10,0,0,0,0,0,0,0,40
4.9,0,0,-10,0,0,0,0,0,0,0,40
4.95,0,0,-10,0,0,0,0,0,0,0,40
5.0,0,0,-10,0,0,0,0,0,0,0,40
5.05,0,0,-10,0,0,0,0,0,0,0,40
5.1,0,0,-10,0,0,0,0,0,0,0,40
5.15,0,0,-10,0,0,0,0,0,0,0,40
5.2,0,0,-10,0,0,0,0,0,0,0,40
5.25,0,0,-10,0,0,0,0,0,0,0,40
5.3,0,0,-10,0,0,0,0,0,0,0,40
5.35,0,0,-10,0,0,0,0,0,0,0,40
5.4,0,0,-10,0,0,0,0,0,0,0,40
5.45,0,0,-10,0,0,0,0,0,0,0,40
5.5,0,0,-10,0,0,0,0,0,0,0,40
5.55,0,0,-10,0,0,0,0,0,0,0,40
5.6,0,0,-10,0,0,0,0,0,0,0,40
5.65,0,0,-10,0,0,0,0,0,0,0,40
5.7,0,0,-10,0,0,0,0,0,0,0,40
5.75,0,0,-10,0,0,0,0,0,0,0,40
5.8,0,0,-10,0,0,0,0,0,0,0,40
5.85,0,0,-10,0,0,0,0,0,0,0,40
5.9,0,0,-10,0,0,0,0,0,0,0,40
5.95,0,0,-10,0,0,0,0,0,0,0,40
6.0,0,0,-10,0,0,0,0,0,0,0,40
6.050000000000001,0,0,-10,0,0,0,0,0,0,0,40
6.1,0,0,-10,0,0,0,0,0,0,0,40
6.15,0,0,-10,0,0,0,0,0,0,0,40
6.2,0,0,-10,0,0,0,0,0,0,0,40
6.25,0,0,-10,0,0,0,0,0,0,0,40
6.300000000000001,0,0,-10,0,0,0,0,0,0,0,40
6.35,0,0,-10,0,0,0,0,0,0,0,40
6.4,0,0,-10,0,0,0,0,0,0,0,40
6.45,0,0,-10,0,0,0,0,0,0,0,40
6.5,0,0,-10,0,0,0,0,0,0,0,40
6.550000000000001,0,0,-10,0,0,0,0,0,0,0,40
6.6,0,0,-10,0,0,0,0,0,0,0,40
6.65,0,0,-10,0,0,0,0,0,0,0,40
6.7,0,0,-10,0,0,0,0,0,0,0,40
6.75,0,0,-10,0,0,0,0,0,0,0,40
6.800000000000001,0,0,-10,0,0,0,0,0,0,0,40
6.85,0,0,-10,0,0,0,0,0,0,0,40
6.9,0,0,-10,0,0,0,0,0,0,0,40
6.95,0,0,-10,0,0,0,0,0,0,0,40
7.0,0,0,-10,0,0,0,0,0,0,0,40
7.050000000000001,0,0,-10,0,0,0,0,0,0,0,40
7.1,0,0,-10,0,0,0,0,0,0,0,40
7.15,0,0,-10,0,0,0,0,0,0,0,40
7.2,0,0,-10,0,0,0,0,0,0,0,40
7.25,0,0,-10,0,0,0,0,0,0,0,40
7.300000000000001,0,0,-10,0,0,0,0,0,0,0,40
7.35,0,0,-10,0,0,0,0,0,0,0,40
7.4,0,0,-10,0,0,0,0,0,0,0,40
7.45,0,0,-10,0,0,0,0,0,0,0,40
7.5,0,0,-10,0,0,0,0,0,0,0,40
7.550000000000001,0,0,-10,0,0,0,0,0,0,0,40
7.6,0,0,-10,0,0,0,0,0,0,0,40
7.65,0,0,-10,0,0,0,0,0,0,0,40
7.7,0,0,-10,0,0,0,0,0,0,0,40
7.75,0,0,-10,0,0,0,0,0,0,0,40
7.800000000000001,0,0,-10,0,0,0,0,0,0,0,40
7.85,0,0,-10,0,0,0,0,0,0,0,40
7.9,0,0,-10,0,0,0,0,0,0,0,40
7.95,0,0,-10,0,0,0,0,0,0,0,40
8.0,0.0,0.0,-10,-0.0,0.5235987755982988,0,-0.05483113556160755,-0.0,0,0,70
8.05,-6.853876286605498e-05,0.026179819157097897,-10,-0.0027415442512082693,0.5235915982358353,0,-0.05483038394996796,-0.000287093842636241,0,0,70
8.1,-0.0002741531724392843,0.05235892058122896,-10,-0.00548301334159601,0.5235700663452157,0,-0.05482812913565501,-0.0005741798144497617,0,0,70
8.15,-0.0006168375916972835,0.07853658655910338,-10,-0.00822433211240327,0.5235341805167477,0,-0.054824371180485575,-0.0008612500448336246,0,0,70
8.2,-0.001096582625772058,0.10471209941678479,-10,-0.010965425408991172,0.5234839417342595,0,-0.054819110187485906,-0.0011482966636124506,0,0,70
8.25,-0.0017133751222138116,0.13088474153936575,-10,-0.013706218082902342,0.5234193513750725,0,-0.05481234630088874,-0.0014353118012581858,0,0,70
8.3,-0.002467198171341778,0.15705379539064146,-10,-0.016446634993921124,0.5233404112099643,0,-0.05480407970612951,-0.001722287589105847,0,0,70
8.35,-0.0033580311067185065,0.18321854353278139,-10,-0.01918660101213359,0.5232471234031191,0,-0.054794310629841025,-0.0020092161595692457,0,0,70
8.4,-0.00438584950570764,0.20937826864599812,-10,-0.02192604101998726,0.5231394905120694,0,-0.054783039339847496,-0.002296089646356681,0,0,70
8.45,-0.005550625190149816,0.23553225354821328,-10,-0.02466487991435051,0.5230175154876254,0,-0.05477026614515699,-0.0025829001846866,0,0,70
8.5,-0.006852326227130945,0.26167978121471913,-10,-0.027403042608571532,0.5228812016737937,0,-0.05475599139595311,-0.0028696399115032134,0,0,70
8.55,-0.008290916929858838,0.2878201347978364,-10,-0.030140454034536895,0.5227305528076865,0,-0.05474021548358532,-0.003156300965692065,0,0,70
8.6,-0.009866357858641983,0.31395259764656686,-10,-0.03287703914472955,0.522565573019419,0,-0.05472293884055823,-0.0034428754882955474,0,0,70
8.65,-0.011578605821974008,0.3400764533262408,-10,-0.03561272291428634,0.5223862668319946,0,-0.054704161940519726,-0.003729355622728362,0,0,70
8.7,-0.013427613877709632,0.36619098563815844,-10,-0.038347430343054795,0.5221926391611837,0,-0.054683885298248025,-0.004015733514992909,0,0,70
8.75,-0.015413331334360514,0.3922954786392247,-10,-0.04108108645764933,0.5219846953153865,0,-0.05466210946963748,-0.00430200131389461,0,0,70
8.8,-0.01753570375247815,0.4183892166615774,-10,-0.043813616313506665,0.5217624409954884,0,-0.05463883505168348,-0.004588151171257148,0,0,70
8.85,-0.019794672946152225,0.4444714843322076,-10,-0.04654494499694048,0.521525882294704,0,-0.054614062682465915,-0.00487417524213764,0,0,70
8.9,-0.022190176984599574,0.47054156659257157,-10,-0.04927499762719518,0.5212750256984097,0,-0.054587793041131816,-0.005160065685041695,0,0,70
8.95,-0.024722150193868586,0.49659874871819504,-10,-0.052003699358498835,0.5210098780839655,0,-0.05456002684787666,-0.005445814662138407,0,0,70
9.0,-0.02739052315863333,0.5226423163382673,-10,-0.05473097538211511,0.5207304467205274,0,-0.05453076486392467,-0.005731414339475221,0,0,70
9.05,-0.030195222724101356,0.5486715554552264,-10,-0.05745675092839413,0.5204367392688474,0,-0.05450000789150792,-0.006016856887192719,0,0,70
9.1,-0.03313617199801744,0.5746857524643331,-10,-0.06018095126882237,0.5201287637810635,0,-0.05446775677384434,-0.006302134479739257,0,0,70
9.15,-0.0362132903527721,0.6006841941732356,-10,-0.0629035017180714,0.5198065287004794,0,-0.0544340123951146,-0.006587239296085534,0,0,70
9.2,-0.03942649342761051,0.6266661678215213,-10,-0.06562432763604532,0.5194700428613326,0,-0.05439877568043792,-0.006872163519938988,0,0,70
9.25,-0.04277569313094798,0.6526309611002579,-10,-0.0683433544299272,0.5191193154885523,0,-0.0543620475958466,-0.007156899339958092,0,0,70
9.3,-0.046260797642782236,0.6785778621715219,-10,-0.07106050755622402,0.5187543561975065,0,-0.054323829148259645,-0.0074414389499665124,0,0,70
9.35,-0.049881711417212315,0.7045061596879133,-10,-0.0737757125228102,0.5183751749937389,0,-0.05428412138545512,-0.007725774549167101,0,0,70
9.4,-0.05363833518505867,0.7304151428120581,-10,-0.07648889489097005,0.5179817822726933,0,-0.054242925396041364,-0.008009898342355779,0,0,70
9.45,-0.0575305659565819,0.7563041012360961,-10,-0.07919998027743837,0.5175741888194302,0,-0.05420024230942727,-0.00829380254013523,0,0,70
9.5,-0.061558297024310704,0.7821723252011543,-10,-0.08190889435643976,0.5171524058083298,0,-0.0541560732957912,-0.008577479359128455,0,0,70
9.55,-0.06572141796596398,0.8080191055168057,-10,-0.08461556286172642,0.5167164448027862,0,-0.05411041956604898,-0.008860921022192169,0,0,70
9.6,-0.07001981464747509,0.8338437335805113,-10,-0.08731991158861398,0.5162663177548913,0,-0.054063282371820676,-0.009144119758629997,0,0,70
9.65,-0.07445336922613066,0.8596455013970477,-10,-0.09002186639601598,0.5158020370051049,0,-0.054014663005396264,-0.00942706780440552,0,0,70
9.7,-0.07902196015379026,0.8854237015979166,-10,-0.09272135320847653,0.5153236152819184,0,-0.053964562799700265,-0.009709757402355142,0,0,70
9.75,-0.0837254621802268,0.9111776274607374,-10,-0.095418298018201,0.5148310657015052,0,-0.05391298312825509,-0.009992180802400726,0,0,70
9.8,-0.08856374635655673,0.936906572928623,-10,-0.09811262688708507,0.5143244017673606,0,-0.053859925405143505,-0.010274330261762095,0,0,70
9.85,-0.09353668003877402,0.9626098326295371,-10,-0.10080426594874181,0.5138036373699325,0,-0.053805391084969796,-0.0105561980451693,0,0,70
9.9,-0.0986441268913909,0.9882867018956308,-10,-0.10349314141052667,0.5132687867862398,0,-0.05374938166281989,-0.010837776425074672,0,0,70
9.95,-0.1038859468911717,1.0139364767825625,-10,-0.10617917955556053,0.5127198646794814,0,-0.05369189867422038,-0.011119057681864684,0,0,70
10.0,-0.10926199633097156,1.0395584540887965,-10,-0.10886230674475085,0.5121568860986343,0,-0.053632943695096476,-0.011400034104071597,0,0,70
10.05,-0.11477212782368174,1.065151931374883,-10,-0.11154244941881039,0.5115798664780405,0,-0.05357251834172865,-0.01168069798858486,0,0,70
10.1,-0.12041619030626283,1.0907162069827128,-10,-0.11421953410027383,0.5109888216369847,0,-0.05351062427070854,-0.011961041640862303,0,0,70
10.15,-0.12619402904389077,1.1162505800547569,-10,-0.11689348739551231,0.5103837677792594,0,-0.05344726317889334,-0.012241057375141086,0,0,70
10.2,-0.13210548563419877,1.1417543505532788,-10,-0.11956423599674552,0.5097647214927218,0,-0.05338243680335939,-0.012520737514648403,0,0,70
10.25,-0.138150398011617,1.167226819279527,-10,-0.12223170668405144,0.5091316997488388,0,-0.05331614692135454,-0.012800074391811947,0,0,70
10.3,-0.1443286004518196,1.1926672878929045,-10,-0.12489582632737371,0.5084847199022211,0,-0.05324839535024938,-0.013079060348470133,0,0,70
10.35,-0.1506399235762661,1.2180750589301124,-10,-0.1275565218885265,0.507823799690148,0,-0.053179183947487454,-0.013357687736082017,0,0,70
10.4,-0.15708419435684462,1.243449435824274,-10,-0.13021372042319707,0.507148957232081,0,-0.05310851461053433,-0.013635948915937038,0,0,70
10.45,-0.16366123612061578,1.2687897229240284,-10,-0.13286734908294523,0.5064602110291672,0,-0.0530363892768256,-0.013913836259364374,0,0,70
10.5,-0.17037086855465855,1.2940952255126037,-10,-0.13551733511720074,0.5057575799637313,0,-0.05296280992371368,-0.014191342147942132,0,0,70
10.55,-0.1772129077110094,1.3193652498268647,-10,-0.138163605875258,0.5050410832987591,0,-0.05288777856841375,-0.014468458973706204,0,0,70
10.6,-0.18418716601170892,1.3445991030763285,-10,-0.14080608880826728,0.5043107406773686,0,-0.05281129726794828,-0.014745179139358815,0,0,70
10.65,-0.19129345225394356,1.3697960934621622,-10,-0.14344471147122423,0.5035665721222716,0,-0.052733368119090775,-0.015021495058476853,0,0,70
10.7,-0.1985315716152849,1.3949555301961465,-10,-0.14607940152495563,0.502808598035225,0,-0.052653993258308204,-0.015297399155719808,0,0,70
10.75,-0.20590132565903474,1.420076723519613,-10,-0.14871008673810268,0.5020368391964715,0,-0.052573174861702494,-0.015572883867037476,0,0,70
10.8,-0.21340251233966345,1.445158984722358,-10,-0.15133669498910146,0.5012513167641691,0,-0.0524909151449508,-0.01584794163987735,0,0,70
10.85,-0.2210349260083495,1.47020162616152,-10,-0.15395915426815995,0.5004520522738124,0,-0.0524072163632448,-0.016122564933391634,0,0,70
10.9,-0.22879835741861587,1.4952039612804335,-10,-0.15657739267923224,0.49963906763764104,0,-0.05232208081122889,-0.01639674621864401,0,0,70
10.95,-0.23669259373206852,1.5201653046274517,-10,-0.15919133844198974,0.4988123851440395,0,-0.05223551082293724,-0.01667047797881605,0,0,70
11.0,-0.24471741852423268,1.545084971874737,-10,-0.1618009198937889,0.49797202745692587,0,-0.05214750877172977,-0.016943752709413257,0,0,70
11.05,-0.2528726117904805,1.5699622798370247,-10,-0.164406065491636,0.49711801761513097,0,-0.05205807707022723,-0.01721656291847087,0,0,70
11.1,-0.26115794995207153,1.59479654649035,-10,-0.16700670381414853,0.49625037903176555,0,-0.051967218170244835,-0.017488901126759184,0,0,70
11.15,-0.2695732058622733,1.619587090990747,-10,-0.16960276356351314,0.49536913549357997,0,-0.05187493456272526,-0.017760759867988654,0,0,70
11.2,-0.27811814881259433,1.6443332336929162,-10,-0.17219417356744046,0.4944743111603109,0,-0.051781228777670205,-0.018032131689014557,0,0,70
11.25,-0.2867925445391082,1.6690342961688547,-10,-0.17478086278111615,0.4935659305640193,0,-0.0516861033840711,-0.01830300915004134,0,0,70
11.3,-0.29559615522887306,1.6936896012264568,-10,-0.1773627602891488,0.49264401860841833,0,-0.051589560989838676,-0.018573384824826577,0,0,70
11.35,-0.30452873952645465,1.7182984729280804,-10,-0.1799397953075139,0.4917086005681899,0,-0.051491604241731444,-0.01884325130088456,0,0,70
11.4,-0.31359005254054306,1.7428602366090762,-10,-0.18251189718549474,0.49075970208829195,0,-0.05139223582528312,-0.01911260117968953,0,0,70
11.45,-0.322779845850663,1.7673742188962858,-10,-0.185078995407619,0.4897973491832559,0,-0.05129145846472905,-0.0193814270768785,0,0,70
11.5,-0.3320978675139914,1.7918397477265013,-10,-0.18764101959559215,0.4888215682364725,0,-0.05118927492293145,-0.01964972162245369,0,0,70
11.55,-0.34154386207225507,1.816256152364892,-10,-0.19019789951022695,0.4878323859994695,0,-0.05108568800130378,-0.01991747746098462,0,0,70
11.6,-0.3511175705587428,1.8406227634233896,-10,-0.1927495650533688,0.48682982959117743,0,-0.050980700539733796,-0.020184687251809715,0,0,70
11.65,-0.36081873050540025,1.8649389128790448,-10,-0.19529594626981808,0.4858139264971868,0,-0.05087431541650579,-0.02045134366923758,0,0,70
11.7,-0.37064707595002666,1.8892039340923357,-10,-0.19783697334924724,0.4847847045689941,0,-0.05076653554822167,-0.02071743940274783,0,0,70
11.75,-0.3806023374435661,1.9134171618254485,-10,-0.20037257662811536,0.4837421920232385,0,-0.05065736388972097,-0.020982967157191505,0,0,70
11.8,-0.39068424205749785,1.937577932260515,-10,-0.20290268659157784,0.48268641744092783,0,-0.05054680343399983,-0.021247919652991106,0,0,70
11.85,-0.4008925133913115,1.9616855830178073,-10,-0.20542723387539177,0.4816174097666558,0,-0.05043485721212903,-0.021512289626340105,0,0,70
11.9,-0.4112268715800944,1.9857394531739034,-10,-0.20794614926781826,0.48053519830780755,0,-0.050321528293170756,-0.021776069829402146,0,0,70
11.95,-0.42168703330219515,2.009738883279801,-10,-0.21045936371151924,0.47943981273375713,0,-0.05020681978409459,-0.022039253030509704,0,0,70
12.0,-0.4322727117869958,2.0336832153790008,-10,-0.21296680830545126,0.47833128307505335,0,-0.05009073482969225,-0.02230183201436238,0,0,70
12.05,-0.4429836168227732,2.0575717930255437,-10,-0.2154684143067542,0.47720963972259683,0,-0.04997327661249141,-0.022563799582224698,0,0,70
12.100000000000001,-0.45381945476465724,2.081403961302006,-10,-0.21796411313263586,0.47607491342680647,0,-0.0498544483526684,-0.022825148552123444,0,0,70
12.15,-0.4647799285426748,2.1051790668374553,-10,-0.2204538363622522,0.47492713529677694,0,-0.04973425330796001,-0.023085871759044595,0,0,70
12.2,-0.47586473766990167,2.1288964578253635,-10,-0.22293751573858317,0.47376633679942565,0,-0.049612694773574106,-0.023345962055129725,0,0,70
12.25,-0.48707357825069675,2.152555484041476,-10,-0.22541508317030404,0.47259254975862947,0,-0.049489776082099306,-0.023605412309871978,0,0,70
12.3,-0.4984061429890323,2.1761554968616377,-10,-0.22788647073365223,0.47140580635435325,0,-0.04936550060341363,-0.023864215410311578,0,0,70
12.350000000000001,-0.5098621211969219,2.1996958492795757,-10,-0.2303516106742892,0.4702061391217669,0,-0.04923987174459211,-0.024122364261230773,0,0,70
12.4,-0.5214411988029353,2.2231758959246375,-10,-0.23281043540915825,0.46899358095035365,0,-0.049112892949813365,-0.024379851785348423,0,0,70
12.45,-0.5331430583608121,2.246594993079483,-10,-0.23526287752833722,0.4677681650830081,0,-0.04898456770026519,-0.02463667092351398,0,0,70
12.5,-0.5449673790581606,2.2699524986977337,-10,-0.2377088697968865,0.4665299251151255,0,-0.04885489951404915,-0.024892814634901044,0,0,70
12.55,-0.556913836725256,2.2932477724215743,-10,-0.24014834515669253,0.46527889499367986,0,-0.04872389194608405,-0.025148275897200374,0,0,70
12.600000000000001,-0.5689821038439264,2.3164801755993087,-10,-0.2425812367283061,0.464015109016294,0,-0.04859154858800855,-0.02540304770681243,0,0,70
12.65,-0.581171849556533,2.339649071302867,-10,-0.24500747781277563,0.46273860183029897,0,-0.04845787306808265,-0.025657123079039338,0,0,70
12.7,-0.5934827396750384,2.36275382434527,-10,-0.24742700189347627,0.46144940843178406,0,-0.04832286905108829,-0.02591049504827643,0,0,70
12.75,-0.6059144366901732,2.385793801298042,-10,-0.24983974263793318,0.46014756416463737,0,-0.048186540238228756,-0.026163156668203184,0,0,70
12.8,-0.6184665997806817,2.4087683705085765,-10,-0.25224563389964,0.4588331047195772,0,-0.048048890367027336,-0.026415101011973655,0,0,70
12.850000000000001,-0.6311388848226738,2.4316769021174527,-10,-0.2546446097198725,0.4575060661331733,0,-0.047909923211224774,-0.026666321172406384,0,0,70
12.9,-0.6439309443990533,2.4545187680757046,-10,-0.25703660432949677,0.4561664847868588,0,-0.04776964258067585,-0.02691681026217378,0,0,70
12.95,-0.6568424278090443,2.477293342162038,-10,-0.2594215521507721,0.45481439740593294,0,-0.047628052321244924,-0.027166561413990903,0,0,70
13.0,-0.6698729810778064,2.4999999999999996,-10,-0.26179938779914935,0.45344984105855446,0,-0.047485156314700475,-0.027415567780803767,0,0,70
13.05,-0.683022246966142,2.522638119075096,-10,-0.26417004608506317,0.4520728531547247,0,-0.04734095847860868,-0.027663822535977056,0,0,70
13.100000000000001,-0.6962898649802813,2.5452070787518566,-10,-0.26653346201571904,0.45068347144526283,0,-0.047195462766226104,-0.027911318873481236,0,0,70
13.15,-0.7096754713817779,2.5677062602908505,-10,-0.26888957079687525,0.44928173402076993,0,-0.04704867316639114,-0.028158050008079194,0,0,70
13.2,-0.7231786991974669,2.590135046865651,-10,-0.27123830783461944,0.447867679310586,0,-0.04690059370341488,-0.02840400917551224,0,0,70
13.25,-0.7367991782295391,2.612492823579744,-10,-0.2735796087371393,0.44644134608173497,0,-0.04675122843697057,-0.028649189632685562,0,0,70
13.3,-0.7505365350656801,2.634778977483388,-10,-0.27591340931648795,0.4450027734378629,0,-0.04660058146198244,-0.028893584657853067,0,0,70
13.350000000000001,-0.7643903930893146,2.656992897590415,-10,-0.2782396455903435,0.44355200081816537,0,-0.04644865690851341,-0.029137187550801694,0,0,70
13.4,-0.7783603724899244,2.679133974894983,-10,-0.2805582537837633,0.44208906799630676,0,-0.04629545894165187,-0.02937999163303506,0,0,70
13.45,-0.7924460902734696,2.701201602388275,-10,-0.2828691703309328,0.4406140150793293,0,-0.046140991761397444,-0.029621990247956604,0,0,70
13.5,-0.8066471602728793,2.723195175075135,-10,-0.28517233187690716,0.43912688250655396,0,-0.045985259602545944,-0.02986317676105206,0,0,70
13.55,-0.820963193158649,2.745114089990659,-10,-0.28746767527934947,0.43762771104847115,0,-0.04582826673457313,-0.030103544560071353,0,0,70
